
#<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
30-08-2017 11:00:33 PID: 8325
Attaching to process ID 8325, please wait...
Debugger attached successfully.
Server compiler detected.
JVM version is 25.65-b01
class_loader	classes	bytes	parent_loader	alive?	type
0x000000009d081690	1	1473	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df18168	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009def4370	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d0812a8	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009dd5e770	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d080ba0	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df17358	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c65ffc8	1	1471	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d0807b8	1	1472	  null  	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d0820b8	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009db9d708	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df17740	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c6606d0	1	1473	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009de70f50	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009def4758	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d0800b0	1	1473	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d0819b0	1	1471	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df17e48	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d0815c8	1	1505	  null  	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009db9d578	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df18230	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d080ec0	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df17038	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c65fca8	1	1473	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009dd5e518	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009def4820	1	878	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d080ad8	1	1472	  null  	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c3973e8	4204	7013707	0x000000009c053378	live	org/apache/catalina/loader/WebappClassLoader@0x00000001001a7b78
0x000000009df17420	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c0335d0	36	111164	  null  	live	sun/misc/Launcher$ExtClassLoader@0x000000010000fa30
0x000000009dd5e900	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c6603b0	1	1473	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009de70c30	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009def4438	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d0803d0	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d081cd0	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df17b28	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d0818e8	1	1471	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df17f10	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d0811e0	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c65f988	1	1473	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009dd5e838	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c6f1880	0	0	0x000000009c033570	dead	java/util/ResourceBundle$RBClassLoader@0x00000001000c2208
0x000000009d07ffe8	1	1473	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009def4500	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d080df8	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df17100	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009dd5ec20	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c660090	1	1476	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d0806f0	1	880	  null  	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009d081ff0	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009db9d640	1	1471	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009df17808	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009c660798	1	1471	0x000000009c053378	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8
0x000000009de71018	1	1472	0x000000009c3973e8	dead	sun/reflect/DelegatingClassLoader@0x0000000100009df8

